Modelo,Continuity,Selectivity,ROAD
DeepLIFT,0.6263252990130259,0.8987715248065659,0.4391883843392133
Guided Grad-CAM,0.8994794262915241,0.7397894981918456,0.5079052646411583
Input x Gradient,0.6263253101888968,0.8987715248065659,0.4391883843392133
Integrated Gradients,0.6439583940545515,0.9222296404687664,0.4860025475174188
Saliency,0.812908470934751,0.7658444512871248,0.2188232506084023
